,ddi,pfam,meff,pdb,dca_max,nb_contact
19,ddi_num_3263,PF00271_PF00176,2333.05232739589,"{'4s20', '1z6a', '1z3i', '3mwy', '5jxr', '1z63', '5hzr'}",0.680703655463898,700
21,ddi_num_5160,PF00072_PF00158,2122.55018910491,"{'5ep0', '3dzd', '5m7o', '1ny5', '5m7p', '5m7n'}",0.203363717977561,333
23,ddi_num_2232,PF00122_PF00702,1907.61284804372,"{'4umv', '4umw', '4byg', '5ksd', '5mrw', '4bbj', '3rfu', '3j08', '3j09', '4bev'}",0.256977436285859,650
25,ddi_num_4570,PF13180_PF13365,1877.01066427866,"{'3pv3', '2z9i', '3gcn', '1lcy', '3cs0', '3stj', '3gdu', '3gco', '4ri0', '3qo6', '1te0', '3pv2', '3mh7', '3gdv', '3ou0', '4rqy', '5fht', '4fln', '4ynn', '3pv5', '4ic6', '5il9', '1y8t', '5ilb', '5jd8', '5jyk'}",0.198576191840346,577
26,ddi_num_3435,PF09339_PF01614,1797.66054460017,{'2o0y'},0.20266441987092,23
27,ddi_num_4715,PF02899_PF00589,1771.05030009301,{'1a0p'},0.284315365796708,112
29,ddi_num_2820,PF02687_PF12704,1756.85977981879,{'5nik'},0.496276608631673,197
30,ddi_num_359,PF08240_PF13602,1744.17680555406,"{'4ida', '4jbh', '4a27', '5dp2', '4idb', '4idf', '5doz', '5a3j', '5dov', '2vn8', '4ide', '5a3v', '4dvj', '5a4d', '4idc', '4idd', '3tqh', '3slk'}",1.03036167299499,538
31,ddi_num_3846,PF08263_PF13855,1731.20712767914,"{'4m7e', '5iyx', '5gij', '5gr9', '4mn8', '4z64', '5gqr', '4z63'}",0.22653791603644,281
32,ddi_num_1940,PF00226_PF01556,1729.46379340962,{'4j80'},0.182257649041745,34
33,ddi_num_3900,PF04397_PF00072,1713.9417970534,{'4cbv'},0.161222074498127,138
34,ddi_num_6070,PF00912_PF00905,1701.86932715313,"{'3ue0', '3udx', '3udf', '3udi', '3dwk', '3ue1'}",0.15850672824408,308
36,ddi_num_3358,PF00403_PF00702,1657.34622324463,"{'3j09', '2voy'}",0.210442750787325,275
37,ddi_num_3667,PF16197_PF00109,1652.48429595373,"{'4na3', '5elp', '3hhd', '4z37', '4zdn', '5e6k', '5erf', '4tkt', '4mz0', '5erb', '2hg4', '4qyr', '2qo3', '4oqj', '4na2', '4ope', '4wky', '2vz8', '4kc5', '5eny', '5e5n', '4na1'}",0.880028790687825,685
38,ddi_num_186,PF00005_PF12399,1621.79763039681,"{'4qc2', '4p31', '4p32', '5x5y', '4p33'}",0.47137093006035,59
39,ddi_num_516,PF13193_PF00550,1576.76912270591,"{'5es8', '5u89', '5es9', '4iz6', '3rg2', '4zxh', '5t3d'}",0.255354140545295,368
43,ddi_num_5790,PF04542_PF04545,1489.70943607581,"{'1rp3', '1sc5', '2z2s', '4nqw'}",0.172016730283413,205
44,ddi_num_3433,PF13545_PF00027,1471.98267490811,"{'3e5u', '3fx3', '3i59', '4ev0', '2zcw', '3e5x', '2h6b', '3mzh', '3h3u', '1zyb', '3d0s', '5i2d', '2gau', '3la7', '2hkx', '3e97', '3b02', '2xgx', '2xko', '5e44', '4a2u', '2xkp', '3la3', '4i2o', '3h3z', '3i54', '2xhk', '3dv8', '4cyd', '4byy', '3la2', '2fmy', '3r6s', '5cvr', '3dkw'}",0.744046985212388,994
45,ddi_num_316,PF00698_PF16197,1429.28101464719,"{'2vz8', '5bp1', '3hhd', '4mz0', '2jfd', '2hg4', '2jfk', '2qo3'}",0.194020885869471,213
46,ddi_num_2190,PF16344_PF04773,1389.72417761977,"{'4m0h', '4m0n'}",0.733839608815503,315
47,ddi_num_308,PF02770_PF02771,1373.46373144717,"{'3oib', '5ahs', '4hr3', '5jsc', '3eon', '3sf6', '3gnc', '1egc', '4kto', '4w9u', '4l1f', '1t9g', '4x28', '2pg0', '1ivh', '3p4t', '3mpj', '2cx9', '3owa', '4zxv', '3x0y', '1siq', '3b96', '2eba', '1egd', '3ii9', '3r7k', '3eom', '4kcf', '2jif', '2r0m', '1udy', '2ix5', '5idu', '4zyj', '1buc', '2z1q', '2uxw', '3x0x', '3pfd', '3mde', '4irn', '4nxl', '3d6b', '4n5f', '2ix6', '2wbi', '1sir', '3nf4', '2d29', '3swo', '1r2j', '2vig', '3m9v', '2dvl', '1jqi', '4o5m', '4iv6', '4jek', '4xvx', '5af7', '2a1t', '4p13', '1rx0', '3mdd', '3gqt', '4m9a', '1ege', '3mpi', '4u83', '1ukw', '2r0n', '3mxl', '4doy', '1ws9'}",0.600926332826507,873
48,ddi_num_6060,PF13432_PF13181,1369.74018526374,"{'3uq3', '3ash', '5a31', '4eqf', '5g04', '3as4', '5lcw', '3as8', '4ui9', '3asf'}",0.322049935996677,200
50,ddi_num_2787,PF14310_PF01915,1356.56410046711,"{'4zoe', '5fjj', '3zz1', '4zob', '4zoa', '3zyz', '4zoc', '5k6l', '4iif', '5ju6', '4zod', '4zo6', '4iib', '3u4a', '5k6o', '5a7m', '4iie', '5ae6', '5tf0', '4iic', '5fji', '2x42', '5k6m', '5k6n', '5jp0', '3ac0', '4i3g', '4i8d', '4zo9', '3abz', '4iih', '4iig', '2x41', '4iid', '3u48', '2x40', '4zo7', '4zo8'}",0.528764305188284,220
51,ddi_num_4206,PF02875_PF08245,1341.46515985869,"{'1p3d', '4bub', '1gqq', '2y67', '1o5z', '2uag', '1gg4', '2vtd', '1eeh', '2uuo', '1e8c', '2xpc', '4cvk', '2wtz', '3zm5', '4uag', '2x5o', '1p31', '1j6u', '2gca', '2gcb', '2gc6', '2wjp', '1w7k', '1uag', '2y1o', '1jbv', '3hn7', '2gc5', '4ziy', '2jfg', '3qcz', '4c13', '3nrs', '3uag', '5a5e', '2vte', '2y68', '1gqy', '2xja', '2uup', '4cvm', '2jff', '3pyz', '2f00', '2jfh', '4hv4', '3n2a', '5a5f', '4c12', '2vor', '2y66', '4qf5', '3lk7', '1e0d', '1w78', '1fgs', '4qdi', '3zl8', '3zm6', '2vos', '1jbw'}",0.749457569035918,935
52,ddi_num_980,PF00289_PF02786,1333.17633487947,"{'3g8d', '2j9g', '2v5a', '4qsl', '3jzf', '2c00', '3rv4', '2w71', '1ulz', '4mv3', '4mv8', '3jrw', '2w6n', '4mv1', '2yl2', '4mv6', '2gps', '5ks8', '3rv3', '2w6m', '3jzi', '2w70', '2w6q', '3gid', '4hq6', '2vqd', '3tw6', '2qf7', '3tw7', '1w96', '4qsh', '3u9t', '3g8c', '5csl', '5mlk', '2w6p', '5i8i', '2vpq', '3jrx', '3ouu', '3u9s', '1dv1', '2v59', '1w93', '2v58', '5h80', '4mv9', '2dzd', '4rcn', '3rup', '3va7', '4qsk', '4hr7', '4rzq', '1bnc', '2gpw', '5kkn', '3ouz', '2w6z', '3glk', '2w6o', '4mv4', '4mv7', '2hjw', '5csk', '2vr1'}",1.02147980090838,522
53,ddi_num_3052,PF13692_PF13439,1323.27376552701,"{'4nc9', '2gej', '4n9w', '2gek'}",0.454948658074253,181
54,ddi_num_975,PF02785_PF02786,1316.61615969757,"{'3g8d', '2j9g', '2v5a', '4qsl', '3jzf', '2c00', '3rv4', '2w71', '1ulz', '4mv3', '4mv8', '3jrw', '2w6n', '4mv1', '4mv6', '2yl2', '2gps', '3rv3', '5ks8', '2w6m', '3jzi', '2w70', '2w6q', '4hq6', '3gid', '2vqd', '3tw6', '2qf7', '3tw7', '4qsh', '3u9t', '3g8c', '5mlk', '5csl', '2w6p', '3jrx', '2vpq', '5i8i', '5csk', '3ouu', '3u9s', '1dv1', '1w93', '2v59', '2v58', '5h80', '4mv9', '2dzd', '4hr7', '3rup', '3va7', '4rcn', '4qsk', '4rzq', '1bnc', '5kkn', '3ouz', '2gpw', '2w6z', '3glk', '2w6o', '4mv4', '4mv7', '2hjw', '1w96', '2vr1'}",0.756425166708356,908
55,ddi_num_4107,PF00994_PF03453,1305.80906475325,"{'5eru', '2nqu', '4tk2', '4u91', '2nqm', '5erv', '1t3e', '5erq', '2nrp', '5err', '2nqq', '2nrs', '4pd1', '2nqn', '2nro', '2nqr', '4tk1', '5ers', '2nqk', '2nqv', '5g2r', '1g8r', '2nqs', '5g2s', '4tk3', '2fts', '4pd0', '2fu3', '5ert', '1fc5', '4u90', '1g8l', '4tk4', '1wu2'}",0.556100183279175,545
56,ddi_num_510,PF00501_PF00550,1297.74367590254,"{'5es8', '5ja1', '5u89', '4iz6', '3rg2', '5ja2', '5t3d'}",0.130307703244374,226
57,ddi_num_488,PF00155_PF00392,1284.99409730939,"{'4mgr', '4n0b', '4tv7'}",0.232994419418062,125
58,ddi_num_972,PF02785_PF00289,1278.25329023964,"{'3g8d', '2v5a', '4qsl', '3jzf', '2c00', '3rv4', '2w71', '1ulz', '4mv3', '4mv8', '3jrw', '2w6n', '4mv1', '4mv6', '2gps', '2yl2', '5ks8', '2w6m', '3rv3', '3jzi', '2w70', '2w6q', '4hq6', '3gid', '2vqd', '3tw6', '2qf7', '3tw7', '1w96', '4qsh', '3u9t', '3g8c', '5csl', '5mlk', '3jrx', '5i8i', '2vpq', '2w6p', '3ouu', '3u9s', '1dv1', '1w93', '2v59', '5h80', '4mv9', '2dzd', '4rcn', '4hr7', '1bnc', '4qsk', '3rup', '3va7', '2gpw', '5kkn', '3ouz', '3glk', '2w6o', '4mv4', '4mv7', '2hjw', '5csk', '2vr1'}",0.775495642076783,808
59,ddi_num_103,PF00004_PF10431,1272.97391458342,"{'1do0', '1g4b', '1do2', '1hqy', '1ht2', '1yyf', '1e94', '1ht1'}",0.223364451390255,49
60,ddi_num_2949,PF00990_PF00072,1245.31636587662,{'1w25'},0.163271009503334,118
61,ddi_num_1852,PF00270_PF16124,1237.90593356466,"{'2wwy', '1oyw', '4q47', '4tmu', '5lb5', '5lb8', '1oyy', '4u7d', '4q48', '5lba', '5lb3'}",0.231324006219215,279
62,ddi_num_3252,PF00271_PF16124,1229.30651195987,"{'4cdg', '2wwy', '1oyw', '4o3m', '4tmu', '5lb5', '5lb8', '2v1x', '4cgz', '1oyy', '5lb3', '4u7d', '4q48', '5lba', '4q47'}",0.551063272849883,295
63,ddi_num_3068,PF00392_PF07702,1223.79620791164,"{'2wv0', '4zs8', '4u0v', '4u0w', '3bwg', '3f8m', '4wwc'}",0.223575129113454,399
64,ddi_num_5979,PF00763_PF02882,1215.64810054798,"{'3ngl', '2c2x', '4b4v', '4a5o', '1b0a', '3p2o', '1a4i', '5tc4', '4a26', '4cjx', '4b4u', '1dia', '4b4w', '3ngx', '3l07', '1dib', '2c2y', '1dig'}",1.56550063480858,681
67,ddi_num_578,PF12796_PF13857,1188.52645755686,"{'4qqi', '4oav', '1wdy', '4j8y', '1mj0', '4g8k', '4k5a', '4hll', '5aq7', '4b93', '3v31', '4zfh', '3v2x', '4o1o', '3v2o', '5aqb', '3so8', '5hry', '4j7w', '4oau', '4o1p', '4lg6', '4g8l', '1ot8', '2rfm', '3noc'}",1.49874812393438,977
68,ddi_num_4537,PF03462_PF00472,1174.95890489591,"{'2b3t', '1gqe', '1rq0', '2ihr', '1zbt'}",0.435630409311427,633
69,ddi_num_3849,PF00560_PF13855,1173.39758555193,"{'4m7e', '4lxs', '3ul7', '4z64', '3zyj', '5mx1', '4z63', '3ula', '3rg1', '4lsx', '5gr9', '4mn8', '5jfi', '3b2d', '5jfk', '4lsc', '3o6n', '4lxr', '4r6j', '5lfn', '5iyx', '4z0c', '4u06', '5gqr'}",0.371789329320061,439
70,ddi_num_2937,PF01408_PF02894,1167.27586376855,"{'5a04', '3nt5', '1h6d', '3mz0', '5b3u', '3gdo', '2p2s', '3o9z', '5a06', '3gfg', '1ryd', '3oa0', '3nto', '1h6b', '5a02', '3ntq', '3f4l', '3db2', '5b3t', '3ezy', '4mkx', '4fb5', '3q2i', '1rye', '1h6c', '3cea', '3oa2', '4n54', '4mkz', '3e18', '3nt2', '4h3v', '5a05', '4gqa', '3nt4', '4koa', '3ip3', '3moi', '3q2k', '2glx', '5b3v', '4l8v', '3ntr', '3hnp', '5a03', '1evj', '1h6a'}",0.538674384198109,760
72,ddi_num_303,PF00441_PF02770,1158.29426508076,"{'3oib', '5ahs', '4hr3', '5jsc', '3sf6', '3eon', '1egc', '4w9u', '3gnc', '4kto', '4l1f', '1t9g', '2pg0', '4x28', '3mdd', '1ivh', '3p4t', '3mpj', '4zxv', '2cx9', '3owa', '1ukw', '1siq', '2eba', '3b96', '3ii9', '3eom', '3r7k', '4kcf', '2jif', '2r0m', '1udy', '2ix5', '5idu', '4zyj', '3u33', '1buc', '2z1q', '2uxw', '3pfd', '3mde', '4irn', '4y9l', '3djl', '3d6b', '1sir', '2ix6', '2wbi', '4n5f', '3nf4', '2d29', '2vig', '1r2j', '3swo', '3m9v', '2dvl', '1jqi', '4o5m', '4iv6', '5af7', '4xvx', '2a1t', '4p13', '5ez3', '4y9j', '1rx0', '3gqt', '4m9a', '1ege', '4u83', '1egd', '3mpi', '2r0n', '3mxl', '1ws9'}",0.507444395415468,753
73,ddi_num_5084,PF04055_PF00919,1155.35301895894,{'4jc0'},0.596867621999153,96
75,ddi_num_2891,PF02843_PF02844,1148.36663944309,"{'2xd4', '2qk4', '2ys7', '3lp8', '2ys6', '2yrw', '2yya', '1gso', '3mjf', '2xcl', '2ip4', '5vev', '2yrx', '2yw2', '1vkz'}",1.21167480729488,167
76,ddi_num_3394,PF01627_PF00072,1139.21169312189,"{'1bdj', '5kbx', '2r25', '2lp4', '1oxb', '3kyj', '1oxk', '4euk', '3kyi'}",0.295346589742369,349
77,ddi_num_4110,PF03454_PF03453,1136.6582209404,"{'2nqv', '1fc5', '2nqu', '2nqr', '1g8r', '4tk2', '1t3e', '2nqs', '2nrp', '2nqk', '2nqq', '1g8l', '4tk3', '4tk4', '2nrs', '2nro', '2fu3', '1wu2', '2nqn', '4tk1'}",0.639484629109426,112
79,ddi_num_4519,PF03717_PF00905,1127.93497452567,"{'5m19', '1mwt', '3pbq', '5u47', '4wek', '4oom', '2zc3', '5df8', '4ool', '5df7', '3zg0', '2zc4', '4wel', '3pbr', '5m18', '3zfz', '4kqo', '3vsl', '5dvy', '3pbt', '3zg5', '3pbs', '4bl3', '5tro', '4fsf', '4cjn', '3oc2', '5e31', '2wad', '3ocl', '3ocn', '1mwr', '2z2l', '1vqq', '2z2m', '2waf', '4l0l', '4kqr', '1mws', '4dki', '4cpk', '4bl2', '1k25', '4wej', '5m1a', '4kqq', '5df9', '1rp5', '3vsk', '2wae', '1mwu', '3pbo'}",0.688346986442363,979
80,ddi_num_2525,PF03807_PF14748,1127.74387620483,"{'2gr9', '2ahr', '2izz', '5uax', '2gra', '3tri', '2rcy', '5uau', '5uaw', '5uav', '2amf', '2ger', '5uat'}",0.406407044192462,92
81,ddi_num_2551,PF01565_PF02873,1122.41990273061,"{'1mbb', '3tx1', '4jay', '1hsk', '4jb1', '3i99', '1uxy', '5jzx', '4pyt', '2mbr', '2q85', '2gqu', '1mbt', '2gqt'}",0.595864159946702,385
82,ddi_num_5789,PF04542_PF04539,1109.10895397486,"{'5voi', '4jk1', '2a69', '4g7o', '1smy', '4yln', '5e18', '4oio', '5uah', '5tmc', '5ipl', '4llg', '2a6h', '4jk2', '5d4c', '2a6e', '4mex', '1ku2', '4yfk', '1sc5', '4lk0', '5tw1', '4yg2', '5vsw', '1iw7', '4lk1', '5uac', '5ipm', '4mq9', '4xls', '4kn7', '5uaj', '5vi8', '2cw0', '2be5', '5uag', '5tjg', '4xsz', '4ljz', '4mey', '4kn4', '4g7h', '5w1s', '4yfx', '4jkr', '5w1t', '5tmf', '2a68', '4g7z', '5ual', '4oir', '5ipn', '3dxj', '5vo8', '5d4d', '5e17', '4q4z', '4yfn', '4xsy', '4oin', '4kmu', '4ylp', '1rp3', '4q5s'}",0.219895525716933,283
83,ddi_num_2786,PF14310_PF00933,1103.77617629296,"{'4zoe', '5fjj', '3zz1', '4zob', '4zoa', '3zyz', '4zoc', '5k6l', '4iif', '5ju6', '4zod', '4zo6', '4iib', '3u4a', '5k6o', '5a7m', '4iie', '5ae6', '5tf0', '4iic', '5fji', '2x42', '5k6m', '5jp0', '5k6n', '3ac0', '4i3g', '4i8d', '4iih', '3abz', '4iig', '2x41', '4zo9', '4iid', '3u48', '2x40', '4zo7', '4zo8'}",0.582967679077539,518
84,ddi_num_4211,PF05192_PF00488,1101.93030107998,"{'5akd', '1oh8', '3thw', '1oh5', '3thz', '2o8c', '3k0s', '1oh6', '1oh7', '2o8f', '1wb9', '1wbd', '5akb', '1w7a', '2o8e', '1nne', '2o8b', '3thx', '1fw6', '1e3m', '3thy', '1wbb', '5akc', '3zlj', '1ewr', '2wtu', '1ewq', '2o8d', '1ng9'}",0.72645709850796,335
85,ddi_num_3083,PF02800_PF00044,1100.85125556512,"{'1ihy', '1znq', '2g82', '1j0x', '3lc7', '3h9e', '3cps', '3dmt', '3b1k', '4k9d', '3gpd', '3v1y', '3e5r', '4boy', '3gnq', '1k3t', '4lsm', '3pfw', '5c7o', '4iq8', '5m6d', '1u8f', '5tso', '2duu', '5vmt', '4wnc', '4mvj', '3hq4', '4p8r', '5j9g', '3lc2', '3pym', '2ep7', '4wni', '5jye', '3zdf', '4qx6', '2x0n', '3lc1', '3k9q', '1ml3', '1ywg', '1gyq', '3vaz', '2d2i', '1vc2', '4dib', '1qxs', '1obf', '5ddi', '3sth', '3ids', '5jy6', '1dss', '3zcx', '1szj', '3l4s', '1vsu', '2b4r', '5jya', '3b1j', '1gpd', '3ksz', '1s7c', '1ihx', '3l0d', '1gyp', '5c7l', '2vyv', '3cif', '3e6a', '2b4t', '3hja', '5jyf', '3lvf', '3l6o', '4o63', '1vsv', '5c7i', '3doc', '5t73', '3ksd', '1crw', '3k73', '1a7k', '3b20', '1i32', '1i33', '4gpd'}",0.897265562826251,408
87,ddi_num_4496,PF00989_PF13426,1087.7237086443,{'4mn6'},0.204812299104808,75
88,ddi_num_17,PF03171_PF14226,1077.27792463728,"{'1w04', '1odn', '2vbb', '2jb4', '2bjs', '3on7', '1oc1', '1ips', '5c3q', '5gja', '2ve1', '3zoi', '4xae', '2ivj', '1blz', '5c3r', '2wo7', '4bb3', '1qiq', '5c3o', '5lsq', '1qjf', '2brt', '1w3v', '2vau', '1gp5', '1uzw', '1gp4', '2bu9', '3zky', '2ivi', '1qje', '5mof', '5lun', '1hb4', '1w03', '2vcm', '2vbp', '1hb3', '1w05', '2vbd', '3zku', '5c3s', '5gj9', '5c3p', '1hb1', '1obn', '3oox', '1gp6', '2y60', '1odm', '1w06', '1w3x'}",0.992960479310459,959
90,ddi_num_1843,PF00270_PF04408,1074.08879961022,"{'2xau', '5wsg', '3kx2', '5i8q', '5lj5', '5jpt', '5xdr', '5lta', '5d0u', '5aor'}",0.241836351590713,112
91,ddi_num_5793,PF04539_PF04545,1073.7870618727,"{'1sc5', '1rp3'}",0.212144905959913,179
92,ddi_num_6022,PF08275_PF01807,1072.18695558607,{'2au3'},0.202064476161127,88
93,ddi_num_5193,PF14622_PF00035,1066.2020978835,{'1o0w'},0.248740815329663,28
94,ddi_num_1971,PF01119_PF13589,1064.20501289483,"{'5akc', '5akd', '1nhh', '1nhi', '3h4l', '1h7s', '1b62', '1nhj', '1b63'}",0.222058125179935,327
95,ddi_num_1050,PF03704_PF00486,1058.13259127541,"{'2ff4', '2fez'}",0.4269777913943,205
96,ddi_num_2564,PF06574_PF01687,1051.87210406438,"{'5fo0', '2i1l', '3zug', '1t6z', '4uzf', '2x0k', '4uze', '1s4m', '1t6y', '1t6x', '5fo1', '5fnz', '1mrz', '3op1'}",0.529773925411951,463
97,ddi_num_251,PF08545_PF08541,1036.74782041351,"{'1m1m', '4x9k', '5bnm', '3gwa', '1hnd', '4efi', '3il3', '4z8d', '3h76', '5by7', '3il6', '3h77', '4wzu', '3t6s', '3s20', '4yuc', '3s1z', '3il4', '5dwz', '3il7', '4ktm', '5kp2', '4ku2', '4ku3', '4x0o', '2aj9', '4x9o', '1hnk', '3il5', '1ebl', '3led', '3h78', '5v0p', '4ku5', '4v2p', '2eft', '4z19', '1hnh', '4dfe', '3t5y', '2x3e', '3fk5', '3il9', '3s21', '3row', '1ub7', '4yuf', '4kti', '1hn9', '2gyo', '3s3l', '5bqs', '4ryb', '4ylt', '5bnr', '1mzs', '1zow', '4ewp', '3t8e', '3s23', '2ahb', '2ebd', '4nhd', '5c1j', '1mzj', '5bns', '3gwe'}",0.8817348900606,692
98,ddi_num_113,PF00004_PF01434,1032.92555906068,"{'4ww0', '2ce7', '2cea', '2dhr', '4eiw'}",0.243362675285997,407
99,ddi_num_4568,PF13180_PF03572,1031.09562787031,"{'4c2e', '1fc6', '4c2h', '1fc9', '1fcf', '1fc7'}",0.39601638206351,163
100,ddi_num_2601,PF00111_PF01799,1027.80211126979,"{'1jro', '1rm6', '1zxi', '4usa', '2w3r', '1vlb', '5g5g', '1fo4', '4ytz', '4c7z', '1t3q', '1jrp', '3etr', '2ckj', '3una', '3fc4', '4uhw', '3nvv', '2w54', '3am9', '3eub', '3ax7', '3l4p', '3sr6', '3ax9', '3hrd', '1fiq', '3nvy', '1sb3', '4yrw', '1n5x', '3uni', '4zoh', '3zyv', '3nvz', '2w3s', '3fah', '2e1q', '1vdv', '1dgj', '4ysw', '5g5h', '1sij', '1v97', '1wyg', '4uhx', '2w55', '4us8', '3nrz', '5epg', '1n62', '3amz', '4yty', '3nvw', '2e3t', '3b9j'}",1.12586203240164,353
101,ddi_num_4976,PF00849_PF01479,1026.43048185356,"{'4lgt', '3dh3', '1vio'}",0.230037430666057,261
102,ddi_num_4497,PF00989_PF00072,1022.14759088768,{'3a0r'},0.135319058588447,57
103,ddi_num_2799,PF02911_PF00551,1014.98493617247,"{'3q0i', '5j63', '4qpc', '4tt8', '4r8v', '4wkg', '4ts4', '1yrw', '1fmt', '2fmt', '1s3i', '2bw0', '1z7e', '3r8x', '4tts', '5uai', '4qpd', '3tqq', '2bln', '2cfi'}",0.822891133404943,578
104,ddi_num_1962,PF03120_PF01653,1013.26168661949,"{'2owo', '4glx', '5tt5', '3sgi', '1dgs', '1v9p'}",0.502814969925204,508
105,ddi_num_721,PF03485_PF05746,999.972080954971,"{'4q2t', '4q2y', '1f7v', '2zuf', '4oby', '5jld', '1f7u', '2zue', '1iq0', '4r3z', '4q2x', '4zaj', '5b63', '1bs2'}",0.419158156989493,151
107,ddi_num_4106,PF00994_PF03454,986.93408188422,"{'5eru', '2nqu', '4tk2', '4u91', '2nqm', '5erv', '1t3e', '5erq', '2nrp', '5err', '2nrs', '2nqq', '4pd1', '2nqn', '2nro', '2nqr', '4tk1', '5ers', '2nqk', '2nqv', '5g2r', '1g8r', '2nqs', '5g2s', '4tk3', '2fts', '4pd0', '2fu3', '5ert', '1fc5', '4u90', '1g8l', '4tk4'}",0.467990927769394,268
109,ddi_num_5189,PF01872_PF00383,977.094636518814,"{'3zpg', '2g6v', '2obc', '3ex8', '2d5n', '2b3z', '2o7p', '3zpc'}",0.761133520277934,142
110,ddi_num_1175,PF01256_PF03853,972.409533650694,"{'3rta', '3rt7', '3rtg', '3rsq', '3rsf', '3rrj', '3rtb', '3rt9', '3rs8', '3ru2', '3rsg', '3rtc', '3rte', '3rtd', '3rss', '3rs9', '3rrf', '3rrb'}",0.151634199779564,23
111,ddi_num_2889,PF01071_PF02843,971.037814403328,"{'2xd4', '2qk4', '2ys7', '2yrw', '3lp8', '2ys6', '2yya', '2xcl', '3mjf', '1gso', '2ip4', '5vev', '2yrx', '2yw2', '1vkz'}",0.999416204450091,314
112,ddi_num_3319,PF14520_PF01330,970.162599006218,"{'1ixr', '1c7y', '2h5x', '1cuk', '1hjp', '2ztd', '1bvs', '2zte', '1d8l', '2ztc'}",1.05537596555932,120
113,ddi_num_5856,PF00588_PF08032,965.675883450147,"{'1gz0', '1ipa'}",0.389762689002934,204
114,ddi_num_37,PF01367_PF00476,962.171167124821,{'1bgx'},0.169164163740754,142
115,ddi_num_2556,PF00970_PF00175,960.283578509817,"{'1quf', '1gjr', '5thx', '3vo1', '3w2i', '1tvc', '3jqq', '3mhp', '4ylf', '2ok8', '3ozw', '1cnf', '3zbt', '1sm4', '1bqe', '1w35', '3jqp', '3w5u', '2rc5', '1h42', '2qdx', '3w5v', '4b4d', '1krh', '5gv8', '2bsa', '5gv7', '1qfj', '3fpk', '2vzl', '1w87', '1gaq', '2xnj', '1cne', '3crz', '2vni', '2vnk', '3w5h', '1gvh', '2bgi', '2xnc', '4uaj', '4wqm', '3w2e', '1umk', '1qx4', '4fk8', '1fdr', '2bgj', '1ndh', '4f7d', '3vo2', '3ozu', '3w2g', '4eh1', '2eix', '2vnh', '3w2f', '4p6v', '1cqx', '1gr1', '1ib0', '4k1x', '4g1v', '2ok7', '1a8p', '2vnj', '1ogi', '1ogj', '4yry', '2x3u', '2cnd', '4g1b', '1ewy', '2pia', '3ozv', '1i7p', '3w2h', '4u9u'}",0.437131073324367,940
